epoch,train_loss,train_accuracy,val_loss,val_accuracy
0,2.150240183,0.340000004,1.315949202,0.519999981
1,1.242380023,0.546999991,0.79757601,0.74000001
2,0.733141303,0.744000018,0.473913044,0.855000019
3,0.362922877,0.878000021,0.321084052,0.875
4,0.315368384,0.910000026,0.389338225,0.860000014
5,0.230920866,0.927999973,0.313480347,0.894999981
6,0.138393477,0.958000004,0.350995451,0.899999976
7,0.128801838,0.953999996,0.336945981,0.904999971
8,0.106768109,0.963999987,0.302960098,0.920000017
9,0.096920043,0.966000021,0.324919403,0.915000021
